id,isbn,judul,pengarang,penerbit,kategori,foto_sampul,deskripsi,created_at,updated_at
1,9780198747833,The Turing Guide,Jack Copeland,Oxford University Press,Science & Geography,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1987/9780198747833.jpg,"Alan Turing has long proved a subject of fascination, but following the centenary of his birth in 2012, the code-breaker, computer pioneer, mathematician (and much more) has become even more celebrated with much media coverage, and several meetings, conferences and books raising public awareness of Turing's life and work. This volume will bring together contributions from some of the leading experts on Alan Turing to create a comprehensive guide to Turing that will serve as a useful resource for researchers in the area as well as the increasingly interested general reader. The book will cover aspects of Turing's life and the wide range of his intellectual activities, including mathematics, code-breaking, computer science, logic, artificial intelligence and mathematical biology, as well as his subsequent",1573898104439,1573898104439
2,9781784160753,Storm in a Teacup : The Physics of Everyday Life,Helen Czerski,Transworld Publishers Ltd,Science & Geography,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7841/9781784160753.jpg,"In Storm in a Teacup, Helen Czerski links the little things we see every day with the big world we live in. Each chapter begins with something small - popcorn, coffee stains and refrigerator magnets - and uses it to explain some of the most important science and technology of our time. This is physics as the toolbox of science - a toolbox we need in order to make sense of what is around us and arrive at decisions about the future, from medical advances to solving our future energy needs. It is also physics as the toy box of science: physics as fun, as never before.",1573898109377,1573898109377
3,9781848549562,What If? : Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,John Murray Press,Science & Geography,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8485/9781848549562.jpg,"In pursuit of answers, Munroe runs computer simulations, pores over stacks of declassified military research memos, solves differential equations and consults nuclear reactor operators. His responses are masterpieces of clarity and hilarity, complemented by comics. They often predict the complete annihilation of humankind, or at least a really big explosion.",1573898115546,1573898115546
4,9781473680326,How To : THE SUNDAY TIMES BESTSELLER,Randall Munroe,John Murray Press,Science & Geography,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4736/9781473680326.jpg,"By exploring the most complicated ways to do simple tasks, Munroe doesn't just make things difficult for himself and his readers. As he did so brilliantly in What If?, he invites us to explore the most absurd reaches of the possible. Full of clever infographics and amusing illustrations, How To is a delightfully mind-bending way to better understand the science and technology underlying the things we do every day.",1573898121715,1573898121715
5,9781107673724,Beyond Smoke and Mirrors : Climate Change and Energy in the 21st Century,Burton Richter,Cambridge University Press,Science & Geography,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1076/9781107673724.jpg,"Global climate change is one of the most important issues humanity faces today. This updated, second edition assesses the sensible, senseless and biased proposals for averting the potentially disastrous consequences of global warming, allowing the reader to draw their own conclusions on switching to more sustainable energy provision. Burton Richter is a Nobel Prize-winning scientist who has served on many US and international review committees on climate change and energy issues. He provides a concise overview of our knowledge and uncertainties within climate change science, discusses current energy demand and supply patterns, and the energy options available to cut emissions of greenhouse gases. Written in non-technical language, this book presents a balanced view of options for moving from our heavy reliance on fossil fuels into a much more sustainable energy system, and is accessible to a wide range of readers without scientific backgrounds - students, policymakers and the concerned citizen.",1573898124185,1573898124185
6,9781316507773,Climate Change in Practice : Topics for Discussion with Group Exercises,Robert L. Wilby,Cambridge University Press,Science & Geography,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/3165/9781316507773.jpg,"Derived from an undergraduate course taught by the author, this accessible book seeks to challenge and provoke readers by posing a series of topical questions concerning climate change and society. Topic summaries provide answers to technical, socio-economic and moral questions surrounding the deployment of climate science. These include how to build and test a climate model, whom and what is most at risk from climate change, and whether we should geoengineer the climate. Practical exercises and case studies provide deeper insights by taking readers through role-play activities and authentic climate change projects. Supporting materials, including notes for instructors and students, graphics, video-clips, games, and online resources, offer scope for further private study and group work. With a focus on applying climate science in practice, this book is ideal for students of geography, natural science, engineering and economics, as well as practitioners involved in the climate service industry.",1573898126652,1573898126652
7,9780007523160,Looking For Alaska,John Green,HarperCollins Publishers,Fiction,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0075/9780007523160.jpg,"BEFORE. Miles Halter's whole life has been one big non-event until he starts at anything-but-boring Culver Creek Boarding School and meets Alaska Young. Gorgeous, clever, funny and utterly fascinating she pulls Miles into her world, launches him into a new life, and steals his heart. But when tragedy strikes, and Miles comes face-to-face with death he discovers the value of living and loving unconditionally. AFTER: Nothing will ever be the same",1573898130354,1573898130354
8,9781409157250,Eleanor & Park,Rainbow Rowell,Orion Publishing Co,Fiction,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4091/9781409157250.jpg,"Eleanor is the new girl in town, and she's never felt more alone. All mismatched clothes, mad red hair and chaotic home life, she couldn't stick out more if she tried. Then she takes the seat on the bus next to Park. Quiet, careful and - in Eleanor's eyes - impossibly cool, Park's worked out that flying under the radar is the best way to get by. Slowly, steadily, through late-night conversations and an ever-growing stack of mix tapes, Eleanor and Park fall in love. They fall in love the way you do the first time, when you're 16, and you have nothing and everything to lose.",1573898131588,1573898131588
9,9781780622286,Six of Crows : Book 1,Leigh Bardugo,Hachette Children's Group,Fiction,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7806/9781780622286.jpg,"Nominated for the CILIP Carnegie Medal 2017, this fantasy epic from the No. 1 NEW YORK TIMES bestselling author of the Grisha trilogy is gripping, sweeping and memorable - perfect for fans of George R. R. Martin, Laini Taylor and Kristin Cashore.",1573898136525,1573898136525
10,9780717181643,"Once, Twice, Three Times an Aisling",Sarah Breen,Gill,Fiction,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/7171/9780717181643.jpg,"Aisling's turning 30, and she's still a complete Aisling. Business is booming at her cafe BallyGoBrunch, her best friend Majella is expecting the hen of the century, while Aisling is in the throes of a fling with the handsome and mannerly blow-in James Matthews. Life is all go. When the big birthday hits, Aisling is faced with a huge surprise and an unexpected decision. Throw in a hapless wedding planner, a mysterious American visitor, the unexpected return of her brother Paul, not to mention her ex John's face around every corner, and Aisling's got an awful lot on her plate. When doubts, worries and an unfortunate clash threaten to get the better of her, Aisling needs to dig deep to see if she has enough strength and inspirational quotes to make it through.",1573898138992,1573898138992
11,9780349425214,"Get A Life, Chloe Brown",Talia Hibbert,"Little, Brown Book Group",Fiction,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3494/9780349425214.jpg,"Talia Hibbert delivers a witty, hilarious romantic comedy about a woman who's tired of being 'boring' and recruits her mysterious, sexy neighbour to help her get a life - perfect for fans of Sally Thorne, Jasmine Guillory and Helen Hoang! Chloe Brown is a chronically ill computer geek with a goal, a plan and a list. After almost - but not quite - dying, she's come up with a list of directives to help her 'Get a Life'",1573898141459,1573898141459
12,9780571334650,Normal People,Sally Rooney,FABER & FABER,Fiction,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5713/9780571334650.jpg,"Connell and Marianne grow up in the same small town in the west of Ireland, but the similarities end there. In school, Connell is popular and well-liked, while Marianne is a loner. But when the two strike up a conversation - awkward but electrifying - something life-changing begins. Normal People is a story of mutual fascination, friendship and love. It takes us from that first conversation to the years beyond, in the company of two people who try to stay apart but find they can't.",1573898143928,1573898143928
13,9780062457714,The Subtle Art of Not Giving a F*ck,Mark Manson,HarperCollins Publishers Inc,Personal Development,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0624/9780062457714.jpg,"Manson advises us to get to know our limitations and accept them. Once we embrace our fears, faults, and uncertainties, once we stop running and avoiding and start confronting painful truths, we can begin to find the courage, perseverance, honesty, responsibility, curiosity, and forgiveness we seek. There are only so many things we can give a f**k about so we need to figure out which ones really matter, Manson makes clear. While money is nice, caring about what you do with your life is better, because true wealth is about experience. A much-needed grab-you-by-the-shoulders-and-look-you-in-the-eye moment of real-talk, filled with entertaining stories and profane, ruthless humor, The Subtle Art of Not Giving a F**k is a refreshing slap for a generation to help them lead contented, grounded lives.",1573898146396,1573898146396
14,9780062888433,Everything Is F*cked,Mark Manson,HarperCollins Publishers Inc,Personal Development,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0628/9780062888433.jpg,"Now, in Everthing Is F*cked, Manson turns his gaze from the inevitable flaws within each individual self to the endless calamities taking place in the world around us. Drawing from the pool of psychological research on these topics, as well as the timeless wisdom of philosophers such as Plato, Nietzsche, and Tom Waits, he dissects religion and politics and the uncomfortable ways they have come to resemble one another. He looks at our relationships with money, entertainment and the internet, and how too much of a good thing can psychologically eat us alive. He openly defies our definitions of faith, happiness, freedom-and even of hope itself.",1573898148864,1573898148864
15,9780340733509,The Power of Now,Eckhart Tolle,HODDER & STOUGHTON,Personal Development,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3407/9780340733509.jpg,"Surrender to the present moment, where problems do not exist. It is here we find our joy, are able to embrace our true selves and discover that we are already complete and perfect. If we are able to be fully present and take each step in the Now we will be opening ourselves to the transforming experience of The Power of Now.",1573898150272,1573898150272
