id,jam_mulai,jam_selesai,created_at,updated_at
1,18:00,22:00,1573898329169,1573898329169
2,18:00,22:00,1573898337807,1573898337807
3,18:00,19:00,1573898340276,1573898340276
4,18:00,19:00,1573898343977,1573898343977
5,18:00,19:00,1573898348913,1573898348913
6,18:00,19:00,1573898351381,1573898351381
7,18:00,19:00,1573898353849,1573898353849
8,18:00,21:00,1573898356317,1573898356317
9,18:00,22:00,1573898358785,1573898358785
10,18:00,null,1573898361253,1573898361253
11,18:00,null,1573898363722,1573898363722
12,18:00,null,1573898366190,1573898366190
13,18:00,null,1573898368658,1573898368658
14,18:00,null,1573898371125,1573898371125
15,18:00,null,1573898373593,1573898373593
16,18:00,19:00,1573898380997,1573898380997
17,18:00,19:00,1573898383529,1573898383529
